#Release 9.2i - par J.36
#Copyright (c) 1995-2007 Xilinx, Inc.  All rights reserved.

#Sat Apr 04 11:28:57 2009

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       sistema_mic1_map.ncd
#OUTPUT FILE:      C:/Documents and Settings/caccolillo/Desktop/ccellar_mic_vhdl/mic1_/mppr_result.dir/M_M_1_pad.csv
#PART TYPE:        xc3s500e
#SPEED GRADE:      -4
#PACKAGE:          fg320
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,DCI Value,IO Register,Signal Integrity,
A1,,,GND,,,,,,,,,,,,,
A2,,,TDI,,,,,,,,,,,,,
A3,,IBUF,IP,UNUSED,,0,,,,,,,,,,
A4,,DIFFM,IO_L24P_0,UNUSED,,0,,,,,,,,,,
A5,,DIFFMI,IP_L22P_0,UNUSED,,0,,,,,,,,,,
A6,uscita_mar<21>,IOB,IO_L20N_0,OUTPUT,LVCMOS25,0,12,SLOW,NONE**,,,,,NO,NONE,
A7,,IBUF,IP,UNUSED,,0,,,,,,,,,,
A8,uscita_mar<31>,IOB,IO,OUTPUT,LVCMOS25,0,12,SLOW,NONE**,,,,,NO,NONE,
A9,,,VCCO_0,,,0,,,,,2.50,,,,,
A10,uscita_pc<14>,IOB,IO_L12N_0/GCLK7,OUTPUT,LVCMOS25,0,12,SLOW,NONE**,,,,,NO,NONE,
A11,uscita_pc<24>,IOB,IO,OUTPUT,LVCMOS25,0,12,SLOW,NONE**,,,,,NO,NONE,
A12,,,NC,,,,,,,,,,,,,
A13,uscita_pc<31>,IOB,IO_L05P_0,OUTPUT,LVCMOS25,0,12,SLOW,NONE**,,,,,NO,NONE,
A14,uscita_pc<20>,IOB,IO_L04N_0,OUTPUT,LVCMOS25,0,12,SLOW,NONE**,,,,,NO,NONE,
A15,,DIFFSI,IP_L02N_0,UNUSED,,0,,,,,,,,,,
A16,,DIFFS,IO_L01N_0,UNUSED,,0,,,,,,,,,,
A17,,,TCK,,,,,,,,,,,,,
A18,,,GND,,,,,,,,,,,,,
B1,,,PROG_B,,,,,,,,,,,,,
B2,,,GND,,,,,,,,,,,,,
B3,,DIFFS,IO_L25N_0/HSWAP,UNUSED,,0,,,,,,,,,,
B4,,DIFFS,IO_L24N_0,UNUSED,,0,,,,,,,,,,
B5,,DIFFSI,IP_L22N_0,UNUSED,,0,,,,,,,,,,
B6,uscita_mar<13>,IOB,IO_L20P_0,OUTPUT,LVCMOS25,0,12,SLOW,NONE**,,,,,NO,NONE,
B7,,,VCCAUX,,,,,,,,2.5,,,,,
B8,,DIFFMI,IP_L13P_0/GCLK8,UNUSED,,0,,,,,,,,,,
B9,,DIFFSI,IP_L13N_0/GCLK9,UNUSED,,0,,,,,,,,,,
B10,uscita_pc<13>,IOB,IO_L12P_0/GCLK6,OUTPUT,LVCMOS25,0,12,SLOW,NONE**,,,,,NO,NONE,
B11,uscita_pc<10>,IOB,IO/VREF_0,OUTPUT,LVCMOS25,0,12,SLOW,NONE**,,,,,NO,NONE,
B12,,,VCCAUX,,,,,,,,2.5,,,,,
